0,1,2,3,4,5,6,7,8,9
SCGB3A1,RP11-178G16.4,FOSL2,SCAPER,TIMM10B,MBOAT7,SNRPB,MRPL51,PLAGL2,PTGES2
TNK1,PLD6,RBM3,MYOM2,LINC00662,IL17RA,SRP9,ATXN10,CASC4,DLST
DEXI,FBXO33,BTK,CAT,ISY1,CCDC124,FOSL2,TIMM10B,AC113189.5,DNAJC15
SNX20,PRMT2,DHRS4,NOL11,ZNF653,LYPLA1,SENCR,FAM96B,IDH2,SND1
ARHGDIA,MAP3K7,TNRC18,RFC2,TRIP12,PLCB2,MARCH5,EAF2,USP20,NT5C
FOPNL,SYTL2,C12orf10,ABHD17B,GIMAP2,CDV3,GADD45B,SMARCA4,N4BP2L1,CTNNAL1
EAPP,SCFD1,ELL,RCE1,TNFRSF1A,RARA,PALLD,PARVB,CD82,GZMH
ADPRM,SMDT1,S100P,SNHG8,C3orf38,YIPF3,CCND2,NUDT1,YWHAG,P2RX5
MRM1,RRS1,RP11-102N12.3,POLD2,PEX16,PIGX,SMIM12,SLC39A1,SHARPIN,KARS
TTPAL,RHBDD3,GLTP,ZNF747,ABCC10,RFXANK,CDC37,SIN3A,KCTD10,ADSL
NDUFB8-1,HIST1H2AH,MANBA,CCDC174,R3HDM2,HAGH,HDAC1,GRSF1,MZB1,FUS
PITHD1,EARS2,ZNF593,STAU1,PEX19,CCDC115,DDAH2,JKAMP,ANKAR,NR2C2AP
TAF1D,PURA,CTNND1,RP11-162G10.5,FBXO7,TRIM8,BAZ2A,NDUFA10,TMEM189,CIAPIN1
NIT2,RFC1,AC005082.12,CDC42BPB,GOLGA1,RTFDC1,NUDT5,SNX9,UBE2K,SAMM50
TARSL2,EOGT,TNFSF12,ELP6,BOLA3,ARL4A,FBXO4,HDDC3,COMMD4,C12orf45
THOC7,ELP5,FADS1,KCNQ1OT1,ARPC4,MED28,OSTC,RRS1,ACOT13,BABAM1
ORAI1,COL6A2,DICER1,SENP2,C17orf59,LRRC59,IRF9,NDUFA2,CHIC2,PPT1
ATP5C1,PRPF8,SIGLEC14,SPRY1,ARL2BP,SMIM7,NPRL2,CD72,LUC7L,TNFRSF17
CDC123,ATPAF1,CDV3,POLR3E,ATG16L1,SKAP2,TIMMDC1,EIF2AK4,PDK2,LMF2
NR2C2AP,STAU2,HP,ARGLU1,ITM2A,EAF2,ARF6,POLDIP2,NSMAF,GMPR2
MRPL41,SARDH,PQBP1,SPIN1,AC074138.3,SF3B5,ABT1,ZBP1,ZNF626,HIST1H1B
ANAPC13,LINC00342,MAT2A,ZNF256,METTL3,CTC-378H22.1,JTB,PMF1,UBE2Q1,PITHD1
SH3KBP1,CCT4,STK32C,PACS1,ATXN1L,KARS,TMCO1,GCA,RIT1,SEC31A
TIGIT,TBXA2R,TRIM8,HDAC5,CRELD2,EIF2AK4,RP11-792A8.4,ADSL,FOPNL,RABL6
DDB2,KLHL24,PFDN2,EIF5,PROK2,VPS25,DTX3,TMBIM6,SIRT1,SMS
SURF1,NT5C3A,CR1,HELQ,RP11-385F7.1,UBE2D1,VPS25,UBE2Q1,REXO2,CECR5
BEX4,KRT1,TMTC2,CRTC1,MPC2,TMEM219,ABHD17B,JTB,CTNNBL1,RGS14
NOL7,POMT1,NFIC,ATP5O,ARGLU1,TIMM17A,MRPL42,HDAC2,POLR2E,PPP2R3C
GTPBP6,PGM2,HDLBP,ATXN1L,UBAP2,FOSL2,MAEA,MRP63,NECAB3,ALG5
ABHD13,CIAPIN1,HDGF,MRPL1,C14orf80,KCNQ1OT1,YTHDF2,MARCH2,NFIC,MIS18BP1
SRM,ST7L,PRDX1,TINF2,TRAF3IP3,SPPL2A,TAF12,VPS25,EMILIN2,IDH3G
TTC1,C9orf3,SLC16A5,CEP128,DEF6,RP11-139H15.1,MGMT,IDH3G,RABL2B,PDZD11
LYRM2,ZNF587B,LAMTOR5,ARHGEF7,SCP2,TIMMDC1,DGKZ,SRM,CARHSP1,ELP6
SPG20,ARVCF,MRPL51,CASC4,LAMP2,GRB2,C1GALT1C1,IDO1,CLEC10A,TAF12
STK38,SEPT11,NELFB,ARRDC3,S100A6,DNAJC15,PDZD4,RAB34,ZNF628,MRPS12
FBXO7,RASD1,SIK1,AATF,ARMC7,GFI1B,IRAK4,GRB2,DHRS4,MAP2K7
RCN2,EIF3D,LSM14B,HCCS,LPIN1,CCT7,IDH2,CRIP3,CORO7,EPN1
STT3A,RP13-270P17.3,SLC27A1,PDIK1L,IDI1,COMMD8,RAB2A,CIDEB,ADAP2,MRPL41
NUDT5,NKTR,MRPL21,TTC28,PRR5L,GIMAP2,MLLT6,SGK1,RFXANK,TOMM40
PDCD1,USP19,YWHAG,RBM48,UNC45A,IGFBP7,RP5-1028K7.2,ECHDC1,METTL3,TADA2A
TDG,MIS18A,PSMB8,KLHL24,CLU,DTYMK,COL6A2,TAPBP,USP7,LAMP2
TOP2B,ATP5O,SLC19A1,ATPAF1,RAD23A,VAPA,CXCR1,LTB4R,RFC5,COMMD10
MRS2,FAM107B,TMEM189,CAPN12,FRMPD3,RAB1B,GYG1,ACADM,FAM120A,SPPL2A
DGKZ,INTS2,DAGLB,USP8,SPTSSB,SNAPIN,STUB1,NAT9,FAM173A,C21orf33
ARPP19,IRF9,GLB1,ITPA,INVS,CWC15,PPP2CA,NUMB,TMEM9B,DIAPH1
NOL11,SAMD1,ABHD5,SETX,PSMB6,LAMTOR1,RTFDC1,SNCA,KLHL6,MRS2
RER1,ITGB7,EVA1B,PJA1,RNF14,SNX9,VAMP8,MTIF2,GMPPA,GRB2
NUDCD1,GPR183,LAIR1,PRDM2,EBNA1BP2,DNTTIP1,FKBP3,ADAM28,ARRDC3,LYPLA1
NUP54,ZNF32,GPR84,INVS,THUMPD3,HDAC5,TM7SF3,UBAP2,MOB2,PPIG
EBNA1BP2,MUM1,ATG7,POMT1,RP11-473I1.5,GALK1,RBM3,GSTZ1,HBP1,RPL39L
C15orf61,MAP2K7,GTPBP2,ZNF468,DIMT1,EIF1B,TMX2,DIAPH1,RBCK1,C20orf27
ADAL,MRPL19,ZSWIM6,ZNF232,DIAPH1,ELOF1,BEX4,LSM6,PTGDR,SRGN
RP5-1028K7.2,LUC7L,PICALM,SNX5,BRAT1,CSRNP1,TTC14,ACADVL,PHACTR4,GNPAT
ERI3,RPS6KL1,IDH1,SRSF5,MRM1,SNW1,PSMB6,B4GALT4,SIGLEC14,ARF4
KIF3A,NUP54,SMPDL3A,RP11-324I22.4,CTC-444N24.11,HLA-DMB,SLA,TMEM242,IL17RA,DOHH
CHMP4A,PCNA,RABL6,LRRK2,C9orf69,MRPL51,ARMC7,NDUFB10,CTNNBIP1,STAMBP
CYTH2,U2SURP,RGL2,HMG20A,KIAA1430,DIAPH1,ZMAT3,AATF,TERF2IP,ACBD3
ORC2,RP11-496I9.1,RP11-701P16.5,DISP1,PRAF2,UBE2D3,NKTR,PLEKHB2,TMEM116,XPNPEP1
PLEKHA3,CEP85L,GUSB,C3orf18,CHMP4A,PTGDR2,C14orf1,MAF1,ARL6IP5,ATXN3
SNAP47,ILF3-AS1,PROK2,ARID4A,NR2C2AP,ORMDL2,SNX14,CDC37,GRB2,ARRB2
NUDT1,TIMM22,SLC22A4,INTS12,POLR2I,CTBP2,POLR2E,FBXO25,VPS13C,STT3A
GARS,LSM14B,WDFY3,C8orf44,DDB2,PAFAH1B1,FBXO25,EMILIN2,KPNA1,GYG1
NME6,SSBP3,REEP3,ARHGAP11A,SAMM50,DCP2,PCNA,NUPL2,ST7L,YWHAG
R3HDM1,NIT1,COQ7,C1orf186,ZNF567,SLC6A6,NDUFA12,CBX5,RPUSD4,DERL1
EIF1AY,HDAC1,ARHGAP18,LINC00957,MED30,APOBEC3G,PRAF2,ABRACL,FADS1,KIF5B
POLDIP2,DHX34,GGA3,SIRT1,SNAPIN,ARF6,ST20,RPS19BP1,C3orf38,TOR1A
GINM1,BRWD1,ACPP,SAFB2,SRM,CTD-2267D19.2,GLYCTK,C14orf1,GNS,MAGEH1
BTN3A2,SLC4A7,RP11-1055B8.7,NFU1,PWP1,GBP4,TMEM242,TOP2B,HSPB11,NUDCD1
PIGX,EID2,ZNF503,NUMB,FASTKD1,IRF8,RAB38,NEIL1,KIAA0125,HMGCL
IDUA,MTRF1,JARID2,ZNF263,PDIK1L,PCGF1,ARSG,PGM2,RFC2,UBA5
ELOVL4,ACD,PLAGL1,CDK16,USP30,ALDH2,MPST,IFT20,SAMD4B,BLVRA
CD2AP,LONRF1,C4orf33,SMDT1,PXMP4,ATP5O,CCDC124,MZB1,RABL2A,NCOA4
RPUSD4,RBM4,MTCH2,RP4-800J21.3,HPRT1,PUM1,BZRAP1-AS1,CASC4,NFAT5,RBM25
C21orf33,ZNF468,ARSD,VTI1A,PUS7,PHACTR1,EMG1,CAPZB,CDC16,PFDN2
USP36,RORA,MAP3K7CL,FMO4,RALY,HCCS,RFC2,BLCAP,TBPL1,CSRP1
ZNF688,FAM120C,LINC01003,PTPRN2,RPS19BP1,SWAP70,ATP6V0E1,GGA2,CTD-2267D19.2,GTPBP6
LSM6,ATG16L1,NFKBIL1,TAOK3,ZNF468,RAB11B,AAGAB,MAFB,FN3KRP,SAAL1
CASC7,SNTA1,IQCE,ATG16L1,TTC14,CA2,CCDC174,PBRM1,TAOK3,MAT2A
TBC1D15,SLC20A2,MKKS,DIDO1,RPL39L,GRPEL1,BRWD1,GOLT1B,HAVCR2,DNMT3A
SNX14,EXOC6,VIPR1,GIT2,DUS3L,HMGCL,PKN2,ARF6,C16orf58,IGJ
VPS28,LDOC1L,PLAGL2,SCFD1,ACTR6,YPEL2,BNIP2,PARL,ARAP1,DPH6
ZFAND4,SETD1B,RIN2,BANP,R3HDM1,ARSD,TMEM140,ARHGEF7,OTUB1,C14orf80
MARCH6,ZNF559,MLX,LYPLA1,ANKHD1,WDR45,DCP2,GARS,MTIF3,FXN
TAOK3,ARHGAP19,ICOSLG,RELT,MPV17,MTCH2,TFAM,FOSL2,BBC3,FBXO33
ZBED5-AS1,AP4B1-AS1,UBXN1,RP11-390B4.5,SLC25A11,UBE2D4,OTUB1,NME3,AKTIP,PAFAH1B1
SEC31A,AP001462.6,DESI1,MED28,TMEM9B,STK11IP,SPRTN,C9orf37,DOCK10,TIMMDC1
RBM7,RP11-432I5.1,FLOT1,FLJ27365,DYNLL2,TAF10,PPA2,KLHL6,TMEM208,CST7
PTPN7,LINC00886,USP7,TSSC1,ATPAF1,DRAM2,UBAP2,NIT1,STRA13,SEPHS2
SUV420H2,ACTR6,CSRNP1,PELI1,MAEA,MLTK,TMEM18,C14orf166,SCP2,EIF2S1
LAMP3,SURF1,RP11-398C13.6,NXT2,CCDC91,KDM3B,LRCH4,TNFRSF1A,SLBP,MPHOSPH10
C19orf52,ANKRD54,IRF8,POLR3K,NME6,NAT9,HBP1,CORO1C,GUSB,EIF1AY
HDAC2,FBXO21,MICU1,TRAPPC12-AS1,DCAF8,SIVA1,ELP5,RARS,TMEM199,GUSB
PRRG2,SF3B1,PELI1,IDI1,SH3KBP1,SGK1,CHIC2,CES4A,TMEM87B,MZB1
CITED4,OSBPL1A,HEXIM2,RWDD4,ORMDL2,MDP1,ISY1,NONO,HOOK2,TRUB2
PTGES2,TAL1,TMEM141,SLC2A13,ARIH2OS,NABP1,MCM3,USP7,ORAI1,MRPL19
HMG20A,TACR2,TMEM104,PDCD2L,TMEM138,ATP6V1D,BUB3,PSMG2,SLC50A1,CLPX
BBS2,MNAT1,SURF1,GCA,CLPX,CPQ,ZNF688,CSRNP1,MPC2,TMEM9B
TOP1MT,ARIH2OS,RPPH1,RUNDC1,RCL1,ATXN10,DNAJB14,CRLS1,C9orf37,AIM2
SRP72,THOC7,TEX2,ARMC7,CASC4,GPS1,IDI1,GYS1,DERL1,NKG7
TASP1,SSBP1,TNS1,TMEM222,BANP,PLEKHJ1,COLGALT2,NF1,GNPTAB,TASP1
C2CD4D,CASC4,DDT,C7orf26,AGA,CHN2,DENND1C,AKAP8,CAMK1D,MAP3K7
RIOK1,LYSMD4,CCDC124,UBE2E1,SLBP,TMEM199,SPG7,CCT7,WIBG,RCN2
UBLCP1,ORC2,RAB1B,TMBIM4-1,RBM3,GINM1,RAB21,CCDC69,LTB4R,RMND5A
CWC15,SMYD4,PPBP,PNRC1,EMB,HDGF,VPS13A,PCMT1,RPUSD3,TMBIM6
ARL2,CCDC94,PUM1,PDE6B,SLC39A14,RIT1,TMEM208,USP38,SPG7,LIMD2
RAD51B,HBP1,TIMM17A,PPP1R2,NAA25,CD47,SUMO3,GOT2,DNTTIP1,EIF2B1
DSCR3,HDDC3,TMEM234,CRIP3,YTHDF2,CDC42EP3,MTERFD1,SYVN1,GPS1,NFU1
NSMAF,TRIM23,CHIC2,TMX2,PI4KB,LRRK2,FNBP4,MAT2A,USP5,ATP6V1F
SNHG8,NOC4L,KLF11,MTRF1,HIST1H2AH,HAVCR2,ORAI1,TRUB2,DDB2,MFSD10
FBXO4,BABAM1,PCMT1,NR3C1,CCNG1,PCYT1A,CCT7,C15orf61,TCEAL8,POLD2
GOT2,RFNG,RP4-781K5.2,VPS13A,EXOC4,GMPR2,NXT2,CA2,NBR1,DNAJC7
SAAL1,AC093323.3,SMIM12,MTERFD2,FLOT1,SAMM50,ABHD12,EBNA1BP2,ZNF688,RP11-139H15.1
COPS4,PPIL2,TCEA2,TGFB1I1,KLC4,CXCL10,ATP5SL,RFXANK,MFF,GTF3A
ZNF232,MOCS2,CIDEB,RP11-1000B6.3,CRLS1,AP003733.1,NF1,DNAJC7,NOC4L,C19orf52
RFPL2,PRUNE,RP11-139H15.1,RP11-432I5.1,DMAP1,C17orf62,COMMD4,SMIM14,PI4KB,METTL3
ALKBH7,PDZD4,CTBP2,LINC00886,NARS,GMPR,AC093323.3,GMPR2,BTN3A1,ACADVL
TMEM87A,RAD23A,ABCC3,FAM107B,TOP2B,LIMD2,PURA,MAP3K7,RAB1B,FNTA
MAEA,BAG5,NDUFC2,RIOK1,CDC123,SARS,SMIM7,ZNF106,C4orf33,RPUSD3
LRRIQ3,POLR2I,CXCL3,RABL2B,BLZF1,TM7SF3,PSMC6,PLCB2,PPIF,CISD1
ST3GAL3,ISG20L2,RPH3A,UBA5,MED7,C1orf86,NAA20,OAS3,DMAP1,CCL3
ZNF333,HCFC2,FIZ1,ARPP19,NECAB3,SUMO3,YIPF3,TCEAL4,CXXC1,IGLL5
ZNF175,PTPN7,TMEM199,PGRMC2,CARHSP1,PTAFR,HDDC3,SNX17,VTI1B,SEPT11
SNRNP27,RP11-5C23.1,SLC25A11,RP5-894A10.2,AAGAB,MRPL19,PPP2R3C,VDAC3,TMEM14C,INTS12
URGCP,IL16,PDIA5,MARCH5,ANAPC4,PHKG2,GALT,YPEL2,PHKG2,ABRACL
SCAPER,PACS1,CAPZA2,GPATCH4,NFIC,MANBA,BOLA3,ARPC4,GPKOW,MAPK1IP1L
PMF1,MALT1,F13A1,UBXN4,RP11-390B4.5,HELQ,ERV3-1,RNASEH2B,CORO1B,FBXO4
ANTXR2,SLC25A14,CD48,EXOC4,PLRG1,ZNF688,CHI3L2,THOC7,CNEP1R1,RAB8B
NUPL2,KCNQ1OT1,MDP1,LONRF1,F11R,GBP1,TRMT61A,KIF5B,RP11-349A22.5,EHMT2
NME3,EXOSC8,MT-ND5,SNX9,RP11-162G10.5,REEP3,MDP1,RAD23A,ACD,RCHY1
FAM210B,GPATCH4,RIT1,RBM7,FBXW4,GID8,C1orf50,HBEGF,BLZF1,WIBG
POLR2I,CTC-444N24.11,YIPF3,TMEM60,THEM4,ECHS1,TCP1,SAMM50,PEX26,CHERP
DHX9,PRKAR2B,SEPT4,RBM5,EDC3,SAMD9L,RPL39L,EIF5,TINF2,POLR2I
MTERFD2,CD96,PKN2,CCT4,NOL7,C9orf69,JARID2,RARA,RNF213,THEM4
PTPRN2,ANKAR,CPQ,RP11-142C4.6,RP11-430B1.2,NCOR2,CHMP4A,CSRP1,ATP6V0E1,NAA20
NR3C1,DDX46,PMF1,SNHG12,SMARCC2,WNK1,DHX15,LYRM4,TAF10,TIMM10B
ACTR6,RPL7L1,REPS2,LIX1L,MVD,SNRPB,PITHD1,RILPL2,USP38,ABT1
MAPK1IP1L,TMEM138,RELB,AC004257.3,LBR,ABCC3,PRKD2,TMEM9B,WDR45,PRDX4
CRELD2,USP36,CTNNB1,ZNF175,MGA,RRAGC,CDC123,STX4,CCDC94,C14orf1
ATP6V0E1,DIDO1,CDC42EP3,NUDCD1,PJA1,STK32C,TCEAL8,HSP90AA1,YIPF3,PGRMC1
MYCBP2,MRPL42,SLC35A2,CTB-152G17.6,BOLA1,HSP90AA1,TRIT1,TMEM62,UCK1,INIP
TSSC1,NUPL2,EPN1,ACTR2,SPPL2A,PLEKHB2,PSMD14,POLR2I,HMGCL,BOLA1
LRRC8C,MADD,SND1,MIS18A,THAP2,MICU1,ECHDC1,GPR35,ADAM10,MORF4L2
RILPL2,ICOS,RALBP1,CDKN2A,UBE2D3,NUMB,UBLCP1,TAOK3,BACH1,PLEKHF1
TBC1D23,ZCCHC9,SENCR,IP6K1,SNTA1,SMARCA4,COPS4,CTBP2,ASB8,TSSC1
UBE2E1,METTL21A,PRDX4,LRRIQ3,C10orf32,NKIRAS2,RCL1,TMEM165,SMS,NKIRAS2
ENTPD3-AS1,PRPS2,SH3GLB1,FNBP4,POLR2E,SYCE1,VPS26B,THUMPD3,FCGR1B,CD19
AC093323.3,DUSP10,MMP9,ANKRD27,BAG4,ACRBP,ATXN10,CAMK2G,SRM,ITM2A
ZFYVE28,PLCL1,F5,KRBOX4,AP001462.6,NOL7,SAMD9L,MRPS12,KLF11,PRKD2
OARD1,CTD-2368P22.1,MAP3K8,CDC123,CAMK2N1,FAM96A,ATXN1L,PHKG2,TIMM17A,VTI1A
PAICS,SPATA7,LPGAT1,ABHD13,ZNF493,ASB8,TYW5,PPIF,FCGR2A,GID8
LMAN2,THBS1,UBE2D4,MADD,JARID2,SAMSN1,LSM14A,CD2AP,PSMC4,PLEKHA3
PGM2L1,RPH3A,FAAH,RP11-488C13.5,TANGO6,ENHO,GIMAP5,PSMC4,TAF12,DDX46
DYNLL2,C1orf198,PACSIN2,GRB2,C2orf76,MS4A6A,MRPS23,GTF2B,TOR1A,IFI35
SCP2,DIMT1,SSBP3,LINC00342,ACOT13,TMED5,ALG5,FEM1A,FCER1G,FANCI
RP3-325F22.5,ERCC6L2,ATP5C1,UBE3A,DUSP10,GPR35,PCMT1,MAEA,DUSP10,TLE4
SDHAF2,ARMCX5,PTGS1,MCUR1,DHX15,CYTH2,PHF5A,NFKBIL1,SKAP2,GZMB
LIN52,RABL2A,ITPA,FRMPD3,GNPAT,DNAJC7,ZBTB10,DRAM2,C5AR1,PRMT2
FXN,UBE2K,MTIF3,RP11-211G3.2,RHEBL1,CDK16,SLC50A1,SMIM5,MIS18A,ECHDC1
WDR37,TMEM87A,SNAPIN,PPT2-EGFL8,MRPL19,RALBP1,STX4,IL8,CD47,ZNF747
TUBG2,PHF14,NIT1,TACR2,RBM25,LGALS2,SH3BP1,PICALM,SAMSN1,RWDD4
INSL3,RP11-532F6.3,PCYT1A,ZCCHC9,NUDCD1,ATP5A1,NDUFS1,GPR84,TCEAL4,PNPLA8
RPN2,DENND6A,ECHDC1,RBM26-AS1,AC113189.5,SHARPIN,RP11-400F19.6,MLX,PSMC6,TSPAN33
ATP5O,CPNE2,CCP110,TRIM16L,OAT,NT5C,SEPHS2,MPP1,ISY1,UIMC1
CHIC2,PEMT,RP11-211G3.2,PRPS2,SDHAF2,TMEM208,CDV3,MED7,ARF4,RARS
RBM25,SNAP47,HDAC9,C21orf33,ATP6V1C1,IFI44,PARP1,RP11-545I5.3,FYB,NIT2
DCAF5,SDHAF2,SMARCA4,RP11-473I1.5,RIOK1,TRIM69,GOLT1B,FLOT1,TRIP12,RPL7L1
MCM3,ZNF718,GSTZ1,U2SURP,PTGDS,ARL6IP5,CELF1,MLTK,GYG1,CCDC94
ASB8,RNF139,PSMB6,OARD1,CES4A,MRPL41,EDC3,TPM2,MARCH6,ITGA2B
PQBP1,ATAD3C,AF213884.2,MCF2L,CEP120,RABIF,ZNF212,UBE2D3,DDAH2,NARG2
LMF2,HMGCL,RP1-111C20.4,CLNS1A,ARF6,SLC25A11,C15orf61,C1orf35,ASXL2,SH3BP1
ZNF836,PRKD2,PRELID2,NKTR,VMAC,EWSR1,RAB1B,MYO1E,RTFDC1,C12orf10
ARMCX5,RFC5,CLIP1,TRMT61A,TMX3,CXCL2,RNF113A,PTGS1,ISG20L2,GOSR2
PCSK7,SAMD14,SERPINF1,GOLGB1,VPS13C,DENND5A,ZNF195,FRAT1,SLC39A1,DDX1
RARS,SUOX,LSM6,POLR2K,INTS2,VTI1B,ZMAT5,KIAA0196,ZBED5-AS1,TMEM14B
BZRAP1-AS1,MED9,CTC-428G20.6,DPH6,GFER,GLRX3,SPG20,GPR183,NPC2,ZAP70
ABT1,ARSG,DCP2,TMEM251,PHF14,PICALM,YPEL3,BEX4,RWDD4,MLEC
RFC5,MYOM2,CDK19,ZBP1,ARF4,FAM96B,CTNNBL1,SURF1,ZNF593,RP11-792A8.4
RP11-496I9.1,BUB3,RP11-145M9.4,RMDN3,RP1-315G1.3,UBE2Q1,SNW1,CORO1B,PRMT2,SRP72
HDAC1,TRIT1,RP11-87C12.2,BET1,OSBPL7,DDX46,MAP2K7,IER3,CDA,FASTKD1
PEX19,ERV3-1,SLC2A13,FBXO33,CCDC124,PHF5A,YWHAB,CXCL2,MYO9B,MRPS23
BTN3A1,NONO,BABAM1,WDR37,RP5-1028K7.2,NFKBIL1,MLLT11,MID1IP1,C1orf50,BOLA3
DNAJA1,MLLT10,CXCL10,ACD,RHBDD3,NDUFB10,RALBP1,NFE2L2,OAS1,TIGIT
ANKHD1,RP11-488C13.5,TTN-AS1,CORO1C,ATAD1,MAPK1IP1L,C10orf32,ASGR1,JKAMP,F2R
PSMA1,FBXL14,AURKC,URGCP,C7orf26,DAPP1,OCIAD1,PLA2G7,CDC37,TRIT1
PDXDC1,PHF3,VTI1A,FAM98A,RAB11B,JUND,TMED5,SHARPIN,C15orf61,CRLS1
ZUFSP,PPIL4,ATP6V0E1,USP30,TIMM17A,RAB34,C17orf59,WDR55,ARPP19,KIAA0125
CCDC174,TGFBRAP1,ZFX,NBR1,PHKG2,NECAB3,SCFD1,RBCK1,SNX20,SLC19A1
RPUSD2,TTC14,TRAPPC3,SAAL1,WARS2,RARS,ALKBH4,IL17RA,ACAT2,TMEM87A
GADD45B,PIK3R1,ACTR2,SETD1B,NDUFB10,NMNAT3,ABHD13,RPUSD3,ARMC7,DDX56
MOB2,RP11-798G7.6,MRPL41,RPL39L,FLJ00104,REPS2,TRAPPC3,NDUFB8-1,EIF1B,LARS
RGS14,FASTKD1,SLC12A4,LRBA,MRPS12,NKAP,TIMM10B,DMAP1,SEC31A,TDG
OAT,TOMM40,CMTM7,PSMC6,CASC3,MID1IP1,DLST,LRRC8C,CGRRF1,FERMT3
ZNF799,MCM3,SUMO3,EARS2,RIOK2,PDIA3,SLFN5,RP11-145M9.4,C16orf13,LRCH4
ANAPC4,XRRA1,C16orf13,LPGAT1,ZNF92,DEDD,UBXN4,TRIM14,BOLA3,ANKRD9
RASGRP2,MED7,GMPPA,ARRDC4,EIF5B,PARL,C1orf35,NCOR2,PARL,DHRS4
MAT2A,TTPAL,KLHL6,ZNF333,RER1,GFER,RPUSD2,AGPAT1,NCOR2,GOLT1B
RP11-554J4.1,RP11-468E2.4,BLM,ZNF626,FAM98A,JTB,USP7,PPA2,RMND5A,FGFBP2
CEP120,SARS,ABCC10,ZBTB10,ZNF212,TCP1,EIF2S1,HCCS,DDT,AP4S1
DHX8,BBX,IQCH-AS1,ADNP,QSOX1,MRP63,GPATCH4,UTP6,EIF2AK4,MRPL42
STRA13,TTC28,ECSIT,SNRPB,RNF187,CDK19,SYTL2,BMPR2,PDHB,ARHGAP18
PARP1,INSL3,FERMT3,HINT1,TBC1D15,SMIM14,SH3KBP1,CIAPIN1,CDK16,LIN52
RP11-87C12.2,CLSTN3,ATP6V1C1,CR1,ZNF32,DDB2,SETX,MRPL43,P2RX5,SNX3
GRAP,C14orf1,SAMD1,LAMTOR5,RP11-798G7.6,CTNNBIP1,TMEM62,CD47,ZBP1,SNRNP27
SNX9,C16orf52,VPS25,LAIR1,USP8,KCNK6,RAB11B,NFIC,ZCCHC9,PEX26
RP11-727F15.9,DDX1,IFFO1,UBB,PPP2CA,AIM2,TKTL1,IQCH-AS1,MYCBP2,C18orf21
YTHDC1,AC074138.3,ISOC2,GDF11,FAM96B,NAA20,CTNNBIP1,CHN2,ORMDL2,STK17A
TSPAN15,PITHD1,NFE2L2,LUC7L,ZNF121,SPATA6,GGNBP2,TIMM17A,CWC27,BLM
ARID4A,UBXN4,RBPJ,RP11-798G7.6,USP5,DICER1,CPQ,IFIT1,ARGLU1,PSMC6
SHARPIN,PEX16,DHX34,CEP120,PDE6B,TMEM165,LRRC59,SLC35A1,SEPT11,ZNF593
PHACTR4,TMEM80,CCL4L1,PIGL,PPP2R3C,JAZF1,MORF4L2,RNF187,NAA25,ANKRD27
DMAP1,RP11-430B1.2,GLYCTK,RP11-706O15.1,TBCB,FAM210B,STAU2,STRA13,CTD-2015H6.3,TMEM18
ATP6V1D,RP11-324I22.4,NF1,SUOX,CTNNBL1,PDHB,DOHH,XPNPEP1,SDAD1,ITSN2
ERCC6L2,ANKHD1,PIGF,XXbac-BPG299F13.17,NDUFC2,SMIM12,INIP,PMEPA1,MLEC,TRAPPC3
PDIK1L,UBAC2,MED28,TYW5,TUBG2,CEACAM4,LAMP2,NDUFS1,R3HDM2,ELP5
PPIB,TASP1,CORO7,SPATA6,ZNF841,FCGR1B,RP11-545I5.3,CCDC124,RPPH1,CCP110
NDUFB10,RNF168,MRP63,ARF6,DNAJA3,TRMT61A,ECSIT,CWC27,CIDEB,JAKMIP1
LRCH4,AAR2,PLEKHB2,HSPB11,ZNF75A,RNF25,CD2AP,CUL4B,RAB21,DYNLL1
METTL8,ARL2BP,ARL4A,RP11-111M22.3,WDR45,FYB,VAPA,MDP1,HVCN1,ADIPOR2
WNK1,DHX9,HCCS,GPR183,SPG7,MVB12A,ARVCF,OAS1,SETD1B,RAD23A
ZNF561,NDUFA10,VTI1B,DNAJC15,STAU2,C10orf32,GLRX3,PSMC6,ARHGAP24,ADAL
POLD2,UBE2D4,RNF187,NIT2,CISH,ATXN3,NOL11,SAAL1,SMARCD1,SNHG8
ARGLU1,PLA2G12A,RNF213,SNX17,SMIM12,BACH1,WTAP,CEPT1,RBM26-AS1,UTP6
RP5-827C21.4,CRTC1,SREBF1,RBM25,LMAN2,MFSD1,DNMT3A,IGJ,CTC-428G20.6,PPP2R1B
ARL2BP,GPR171,NDUFA10,N4BP2L1,TIMM22,CORO7,STK38,ACTL6A,ZNF330,DDI2
MDS2,RP11-141B14.1,KIAA0196,BRAT1,PHACTR4,RGS18,PGRMC1,CHIC2,IL23A,UBE2Q1
SELPLG,PMEPA1,SLC48A1,LILRA4,NUDT16L1,C14orf166,DDX17,TMEM251,ALG5,FAM173A
ETHE1,RBM26-AS1,DAPP1,FBXO4,PDXDC1,RP11-468E2.4,GID8,CLYBL,GDF11,MPST
SARDH,GOLT1B,TMEM102,TANGO6,FAM120A,PARVB,ATP5C1,EPN1,TDG,PDK2
SAMD12,PVALB,SERAC1,ST3GAL3,GABARAPL2,GMPPA,TLE4,SETD5,DLEU7,SSBP1
QRICH1,CASC3,NABP1,STT3A,ELP6,COLGALT1,KIAA0196,DOCK10,ACTR6,GINM1
